wage,wspeed,city
15.59,73.83,Jakarta
20.22,70.26,Sofia
25.62,65.46,Bucharest
32.78,65.36,Rio
23.96,76.84,Guanzhou
23.19,80.66,MexicoCity
22.75,86.94,Nairobi
28.92,84.80,Warsaw
34.32,79.69,Budapest
42.47,83.62,HongKong
48.19,79.23,Prague
50.62,74.13,Singapore
56.34,79.44,Seoul
61.30,85.77,Rome
62.62,80.71,Taipei
66.81,83.62,Athens
71.98,88.72,Paris
78.48,84.80,Stockholm
81.67,90.41,Tokyo
82.67,95.51,Amsterdam
86.85,91.22,London
90.93,85.05,Toronto
85.53,77.60,Vienna
98.41,91.22,Frankfurt
100.00,91.28,NewYork
106.67,98.37,Dublin
114.16,92.76,Zurich
